CompoundID,Primary_Target_Assay,Primary_Target_Assay_BioActivity,MW,Molecular_Weight,TPSA,ClogP,LogD,Num_H_Donors,Num_H_Acceptors,Num_AromaticRings,F_SP3,Drug_Class,Cell Permeability,Cmpd Solubility (uM),fafg (Rat),Bioavailability (Rat),"Clint,mic (L/hr/kg) (Rat)"
CM-2040194,JAK1 EC50(uM),2.46,,359.42,49.22,1.859,0.6192,1,5,3,0.57895,Class C,17.9,446,,,44.4
CM-2040176,JAK1 EC50(uM),0.0406,,359.42,49.22,1.859,0.6192,1,5,3,0.57895,Class C,14.2,411,,,11.2
CM-2064787,JAK1 EC50(uM),0.17,,360.4,55.21,1.805,1.8046,1,5,3,0.57895,Class C,32.7,46,,,27.3
CM-2004637,JAK1 EC50(uM),0.0414,,337.34,49.22,1.767,1.7664,1,5,3,0.5,Class C,30.3,165,,,38.2
CM-2040200,JAK1 EC50(uM),3,,385.45,49.22,1.931,0.5421,1,5,3,0.61905,Class C,19.1,414,,,49.2
CM-2035650,JAK1 EC50(uM),3,,353.39,48.05,3.07,3.0241,1,5,2,0.64706,Class C,55,3,,,
CM-2112979,JAK1 EC50(uM),0.0274,,323.39,90.52,1.875,1.8749,2,6,3,0.5,Class C,25.6,,,,3.83
CM-2115156,JAK1 EC50(uM),3,,331.36,49.22,0.958,0.9211,1,5,3,0.52941,Class C,57.7,473,,,53
CM-2142835,JAK1 EC50(uM),3,,310.35,83.28,0.918,-1.3368,2,6,3,0.47059,Class C,1.54,638,,,18.3
CM-1264414,JAK1 EC50(uM),0.326,,241.29,58.87,2.635,2.635,1,5,3,0.46154,Class C,65.3,7,,,
CM-2065906,JAK1 EC50(uM),0.0113,,340.46,66.21,2.874,2.8733,2,5,3,0.6,Class C,27.2,59,,,208
CM-2054750,JAK1 EC50(uM),3,,353.39,48.05,3.226,3.1801,1,5,2,0.64706,Class C,19.9,1,,,8.05
CM-2123343,JAK1 EC50(uM),0.113,,286.37,54.04,2.549,2.5033,1,5,2,0.625,Class C,36,89,,,42.3
CM-2055402,JAK1 EC50(uM),3,,353.39,48.05,3.226,3.1801,1,5,2,0.64706,Class C,36.9,3,,,
CM-2048795,JAK1 EC50(uM),3,,371.48,74.34,3.171,3.1251,1,7,2,0.65,Class C,31.2,4,,,82.7
CM-1989875,JAK1 EC50(uM),0.684,,309.41,49.22,1.684,-0.8213,1,5,3,0.55556,Class C,22,531,,,8.85
CM-1425633,JAK1 EC50(uM),3,,317.32,65.3,1.434,1.4343,0,7,3,0.4,Class C,,511,,,
CM-1457353,JAK1 EC50(uM),3,,284.31,62.06,1.561,1.5612,0,6,3,0.4,Class C,61,140,,,70
CM-1181437,JAK1 EC50(uM),0.245,,239.32,33.09,2.845,2.8447,1,3,3,0.4,Class C,,,,,
CM-1337435,JAK1 EC50(uM),0.00798,,295.38,72,1.205,-1.6685,3,5,3,0.52941,Class C,1.14,473,,,4.78
CM-1982206,JAK1 EC50(uM),0.087,,310.35,88.91,0.654,0.6018,1,7,2,0.5,Class C,13,493,,,4.21
CM-2017542,JAK1 EC50(uM),0.0106,,284.36,66.21,1.21,1.2091,2,5,3,0.5,Class C,52.7,189,,,13.6
CM-2066686,JAK1 EC50(uM),0.0434,,330.38,55.21,1.915,1.9139,1,5,4,0.3,Class C,15.9,4,,,87.9
CM-2072003,JAK1 EC50(uM),0.00474,,324.42,55.21,2.319,2.3184,1,5,3,0.57895,Class C,103,97,,,358
CM-2154933,JAK1 EC50(uM),0.0215,,386.44,55.21,2.236,2.2356,1,5,3,0.61905,Class C,13.8,4,0.0303,2,47.2
CM-2155758,JAK1 EC50(uM),0.0166,,330.33,55.21,0.833,0.8323,1,5,3,0.52941,Class C,36,93,,,8.16
CM-2158723,JAK1 EC50(uM),0.0044,,344.36,55.21,1.654,1.6534,1,5,3,0.55556,Class C,43.2,2,,,21.1
CM-2162739,JAK1 EC50(uM),0.0109,,377.43,58.45,1.698,1.563,1,6,3,0.57895,Class C,41.9,267,,,25.8
CM-2166646,JAK1 EC50(uM),0.013,,358.39,55.21,1.347,1.346,1,5,3,0.57895,Class C,37.7,6.88,0.11,9.1,8.2
CM-2170611,JAK1 EC50(uM),0.0202,,358.39,55.21,1.347,1.346,1,5,3,0.57895,Class C,34.5,20,,,24.8
CM-2171525,JAK1 EC50(uM),0.0168,,263.3,69.77,0.344,0.3443,1,5,3,0.4,Class C,65.2,20,,,16.8
CM-2174002,JAK1 EC50(uM),0.00626,,324.38,64.44,0.426,0.4251,1,6,3,0.55556,Class C,48.3,303,,,39.9
CM-2177772,JAK1 EC50(uM),0.0147,,345.35,68.1,1.151,1.1511,1,6,3,0.58824,Class C,51,110,,,2.5
CM-2182777,JAK1 EC50(uM),0.017,,326.37,55.21,0.92,0.919,1,5,3,0.55556,Class C,33.2,2,,,93.4
CM-2182779,JAK1 EC50(uM),0.0263,,326.37,55.21,0.92,0.919,1,5,3,0.55556,Class C,36.4,14,,,8.53
CM-2195741,JAK1 EC50(uM),0.00597,,343.37,58.01,0.585,-2.0288,2,5,3,0.55556,Class C,34.3,161,,,15.6
CM-2205130,JAK1 EC50(uM),0.0265,,329.35,58.01,0.515,-1.3866,2,5,3,0.52941,Class C,41.9,178,,,2.5
